Plate Height Test:,pcrplate+postrefactor20161130183707
Time:,2016-11-30 18:37:07.890963317 +0000 GMT
antha-lang/antha commitID:,66cb5ad0e8d0ddaa1db6444bb097be55f52be801

TestName,Plate,Liquid name,Liquid type ,Liquid Volume,Well ,Aspirate mm from Bottom of well? ,Dispense mm from Bottom of well? ,Acceptable? ," Comments",plate Z start,Plate Height,lhpolicy aspirate z offset,lhpolicy dispense z offset
pcrplate+postrefactor20161130183707,pcrplate_skirted_Platenumber_1,tartrazine,water,19.000ul,A1,"  ","  "," "," ",0.636,15.5,<nil>,1
pcrplate+postrefactor20161130183707,pcrplate_skirted_Platenumber_1,tartrazine,NeedToMix,19.000ul,B1,"  ","  "," "," ",0.636,15.5,<nil>,0.5
pcrplate+postrefactor20161130183707,pcrplate_skirted_Platenumber_1,tartrazine,DispenseAboveLiquid,19.000ul,C1,"  ","  "," "," ",0.636,15.5,<nil>,<nil>
pcrplate+postrefactor20161130183707,pcrplate_skirted_Platenumber_1,tartrazine,water,100.000ul,D1,"  ","  "," "," ",0.636,15.5,<nil>,1
pcrplate+postrefactor20161130183707,pcrplate_skirted_Platenumber_1,tartrazine,NeedToMix,100.000ul,E1,"  ","  "," "," ",0.636,15.5,<nil>,0.5
pcrplate+postrefactor20161130183707,pcrplate_skirted_Platenumber_1,tartrazine,DispenseAboveLiquid,100.000ul,F1,"  ","  "," "," ",0.636,15.5,<nil>,<nil>
pcrplate+postrefactor20161130183707,pcrplate_skirted_riser20_Platenumber_1,tartrazine,water,19.000ul,A1,"  ","  "," "," ",18.5,15.5,<nil>,1
pcrplate+postrefactor20161130183707,pcrplate_skirted_riser20_Platenumber_1,tartrazine,NeedToMix,19.000ul,B1,"  ","  "," "," ",18.5,15.5,<nil>,0.5
pcrplate+postrefactor20161130183707,pcrplate_skirted_riser20_Platenumber_1,tartrazine,DispenseAboveLiquid,19.000ul,C1,"  ","  "," "," ",18.5,15.5,<nil>,<nil>
pcrplate+postrefactor20161130183707,pcrplate_skirted_riser20_Platenumber_1,tartrazine,water,100.000ul,D1,"  ","  "," "," ",18.5,15.5,<nil>,1
pcrplate+postrefactor20161130183707,pcrplate_skirted_riser20_Platenumber_1,tartrazine,NeedToMix,100.000ul,E1,"  ","  "," "," ",18.5,15.5,<nil>,0.5
pcrplate+postrefactor20161130183707,pcrplate_skirted_riser20_Platenumber_1,tartrazine,DispenseAboveLiquid,100.000ul,F1,"  ","  "," "," ",18.5,15.5,<nil>,<nil>
pcrplate+postrefactor20161130183707,pcrplate_skirted_riser40_Platenumber_1,tartrazine,water,19.000ul,A1,"  ","  "," "," ",38.25,15.5,<nil>,1
pcrplate+postrefactor20161130183707,pcrplate_skirted_riser40_Platenumber_1,tartrazine,NeedToMix,19.000ul,B1,"  ","  "," "," ",38.25,15.5,<nil>,0.5
pcrplate+postrefactor20161130183707,pcrplate_skirted_riser40_Platenumber_1,tartrazine,DispenseAboveLiquid,19.000ul,C1,"  ","  "," "," ",38.25,15.5,<nil>,<nil>
pcrplate+postrefactor20161130183707,pcrplate_skirted_riser40_Platenumber_1,tartrazine,water,100.000ul,D1,"  ","  "," "," ",38.25,15.5,<nil>,1
pcrplate+postrefactor20161130183707,pcrplate_skirted_riser40_Platenumber_1,tartrazine,NeedToMix,100.000ul,E1,"  ","  "," "," ",38.25,15.5,<nil>,0.5
pcrplate+postrefactor20161130183707,pcrplate_skirted_riser40_Platenumber_1,tartrazine,DispenseAboveLiquid,100.000ul,F1,"  ","  "," "," ",38.25,15.5,<nil>,<nil>
pcrplate+postrefactor20161130183707,pcrplate_skirted_incubator_Platenumber_1,tartrazine,water,19.000ul,A1,"  ","  "," "," ",54.42,15.5,<nil>,1
pcrplate+postrefactor20161130183707,pcrplate_skirted_incubator_Platenumber_1,tartrazine,NeedToMix,19.000ul,B1,"  ","  "," "," ",54.42,15.5,<nil>,0.5
pcrplate+postrefactor20161130183707,pcrplate_skirted_incubator_Platenumber_1,tartrazine,DispenseAboveLiquid,19.000ul,C1,"  ","  "," "," ",54.42,15.5,<nil>,<nil>
pcrplate+postrefactor20161130183707,pcrplate_skirted_incubator_Platenumber_1,tartrazine,water,100.000ul,D1,"  ","  "," "," ",54.42,15.5,<nil>,1
pcrplate+postrefactor20161130183707,pcrplate_skirted_incubator_Platenumber_1,tartrazine,NeedToMix,100.000ul,E1,"  ","  "," "," ",54.42,15.5,<nil>,0.5
pcrplate+postrefactor20161130183707,pcrplate_skirted_incubator_Platenumber_1,tartrazine,DispenseAboveLiquid,100.000ul,F1,"  ","  "," "," ",54.42,15.5,<nil>,<nil>
